23:40:15:634038 | FE  | info     | Logging innitialized!
23:40:15:635259 | App | info     | Logging innitialized!
23:40:15:635403 | FE  | debug    | ////////////////////////////////////////////////////////
23:40:15:635519 | FE  | debug    | ////////////////////// UNIT TESTS //////////////////////
23:40:15:635666 | FE  | debug    | ////////////////////////////////////////////////////////
23:40:15:635788 | FE  | debug    | ----------------------Logging tests---------------------
23:40:15:635907 | FE  | info     | Logging level set to 0 - all.
23:40:15:636010 | App | info     | Logging level set to 0 - all.
23:40:15:636089 | FE  | critical | Fatal test
23:40:15:636162 | App | critical | Fatal test
23:40:15:636237 | FE  | error    | Error test
23:40:15:636318 | App | error    | Error test
23:40:15:636395 | FE  | warning  | Warn test
23:40:15:636469 | App | warning  | Warn test
23:40:15:636541 | FE  | info     | Info test
23:40:15:636625 | App | info     | Info test
23:40:15:636702 | FE  | debug    | Debug test
23:40:15:636777 | App | debug    | Debug test
23:40:15:636856 | FE  | trace    | Trace test
23:40:15:636956 | App | trace    | Trace test
23:40:15:637030 | FE  | info     | Logging level set to 5 - fatal error or higher.
23:40:15:637133 | FE  | error    | Unrecognized lvl of logging! Possible values: 0-6. Received value: lvl=10
23:40:15:637215 | App | info     | Logging level set to 4 - error or higher.
23:40:15:637292 | App | error    | Unrecognized lvl of logging! Possible values: 0-6. Received value: lvl=11
23:40:15:637371 | FE  | info     | Logging level set to 1 - debug or higher.
23:40:15:637443 | App | info     | Logging level set to 1 - debug or higher.
23:40:15:637516 | FE  | debug    | ////////////////////////////////////////////////////////
23:40:15:637590 | FE  | debug    | ---------------------Profiler tests---------------------
23:40:15:637926 | FE  | info     | Profiler session 'TEST' started.
23:40:15:638036 | FE  | info     | Profiler Start Session: PASSED
23:40:15:638135 | FE  | info     | Profiler Scope Function Begin: PASSED
23:40:15:714046 | FE  | info     | Profiler Timer Stop: PASSED
23:40:15:714282 | FE  | info     | Profiler Scope Name Begin: PASSED
23:40:16:852440 | FE  | info     | Profiler session 'TEST' closed.
23:40:16:853007 | FE  | info     | Profiler End Session: PASSED
23:40:16:853938 | FE  | info     | Profiler: PASSED
23:40:16:854491 | FE  | debug    | ////////////////////////////////////////////////////////
23:40:16:855023 | FE  | debug    | --------------------Assertion Tests--------------------
23:40:16:855593 | FE  | info     | Skipping core assertion testing due to core assertion break enabled.
23:40:16:856065 | FE  | info     | Skipping assertion testing due to assertion break enabled.
23:40:16:856431 | FE  | debug    | ////////////////////////////////////////////////////////
23:40:16:856939 | FE  | info     | /////////////////////////////////////////////////////
23:40:16:857407 | FE  | info     | ////////////////////// STARTUP //////////////////////
23:40:16:857896 | FE  | info     | /////////////////////////////////////////////////////
23:40:16:858331 | App | info     | Logging level set to 0 - all.
23:40:16:858698 | FE  | info     | Logging level set to 0 - all.
23:40:16:859385 | FE  | info     | Profiler session 'Startup' started.
23:40:16:859855 | FE  | info     | Initializing GLFW
23:40:16:904223 | FE  | info     | Creating Window FoolsEngine (1600, 900)
23:40:17:043063 | FE  | debug    | Setting events callbacks for window.
23:40:17:043303 | FE  | info     | Events callbacks for Win10Window setted up.
23:40:17:044854 | FE  | info     | Creating rendering context
23:40:17:048307 | FE  | info     | Rendering platform info:
23:40:17:048428 | FE  | info     | 	Vendor:		ATI Technologies Inc.
23:40:17:049021 | FE  | info     | 	Renderer:	AMD Radeon RX 7900 XT
23:40:17:049366 | FE  | info     | 	Version:	4.6.0 Compatibility Profile Context 23.5.1.230512
23:40:17:049722 | FE  | info     | OpenGL Rendering Context created.
23:40:17:050101 | FE  | info     | VSync disabled.
23:40:17:050593 | FE  | info     | New outer layer "ApplicationLayer" added to LayerStack
23:40:17:050870 | FE  | info     | New outer layer "ImGuiLayer" added to LayerStack
23:40:17:051554 | FE  | debug    | OpenGLRendererAPI creation!
23:40:17:051719 | FE  | info     | OpenGLRendererAPI Initialization.
23:40:17:110841 | FE  | info     | Channels: 3
23:40:17:122577 | FE  | info     | Channels: 4
23:40:17:122715 | FE  | info     | New inner layer "EditorLayer" added to LayerStack
23:40:17:123421 | FE  | info     | Profiler session 'Startup' closed.
23:40:17:123510 | FE  | info     | /////////////////////////////////////////////////////
23:40:17:123846 | FE  | info     | ////////////////////// RUNTIME //////////////////////
23:40:17:124187 | FE  | info     | /////////////////////////////////////////////////////
23:40:17:124521 | App | info     | Logging level set to 1 - debug or higher.
23:40:17:124861 | FE  | info     | Logging level set to 1 - debug or higher.
23:40:17:125343 | FE  | info     | Profiler session 'Runtime' started.
23:40:17:191979 | FE  | info     | Profiler session 'Runtime' closed.
23:40:37:782725 | FE  | info     | /////////////////////////////////////////////////////
23:40:37:783162 | FE  | info     | ///////////////////// SHUTDOWN //////////////////////
23:40:37:783638 | FE  | info     | /////////////////////////////////////////////////////
23:40:37:783984 | App | info     | Logging level set to 0 - all.
23:40:37:784433 | FE  | info     | Logging level set to 0 - all.
23:40:37:785096 | FE  | info     | Profiler session 'Shutdown' started.
23:40:37:786079 | FE  | info     | Closing Window.
23:40:37:811578 | FE  | info     | Profiler session 'Shutdown' closed.
