20:01:48:147252 | App | info     | Logging level set to 0 - all.
20:01:48:147817 | FE  | info     | Logging level set to 0 - all.
20:01:48:147837 | FE  | info     | Initializing GLFW
20:01:48:219913 | FE  | info     | Creating Window Sandbox - FoolsEngine Application (1600, 900)
20:01:48:431852 | FE  | debug    | Setting events callbacks for window.
20:01:48:431886 | FE  | info     | Events callbacks for Win10Window setted up.
20:01:48:431898 | FE  | info     | Creating rendering context
20:01:48:435266 | FE  | info     | Rendering platform info:
20:01:48:435285 | FE  | info     | 	Vendor:		ATI Technologies Inc.
20:01:48:435293 | FE  | info     | 	Renderer:	AMD Radeon RX 7900 XT
20:01:48:435299 | FE  | info     | 	Version:	4.6.0 Compatibility Profile Context 23.5.2.230523
20:01:48:435306 | FE  | info     | OpenGL Rendering Context created.
20:01:48:435479 | FE  | info     | VSync disabled.
20:01:48:435500 | FE  | info     | New outer layer "ApplicationLayer" added to LayerStack
20:01:48:435508 | FE  | info     | New outer layer "ImGuiLayer" added to LayerStack
20:01:48:436790 | FE  | debug    | OpenGLRendererAPI creation!
20:01:48:436804 | FE  | info     | OpenGLRendererAPI Initialization.
20:01:48:494722 | FE  | info     | Channels: 3
20:01:48:501152 | FE  | info     | New inner layer "LayerExample" added to LayerStack
20:01:48:501455 | FE  | info     | Channels: 4
20:01:48:501487 | FE  | info     | /////////////////////////////////////////////////////
20:01:48:501495 | FE  | info     | ////////////////////// RUNTIME //////////////////////
20:01:48:501501 | FE  | info     | /////////////////////////////////////////////////////
20:01:48:501507 | App | info     | Logging level set to 1 - debug or higher.
20:01:48:501512 | FE  | info     | Logging level set to 1 - debug or higher.
20:01:51:960760 | FE  | info     | Window Close Event
20:01:51:960818 | FE  | info     | /////////////////////////////////////////////////////
20:01:51:960826 | FE  | info     | ///////////////////// SHUTDOWN //////////////////////
20:01:51:960832 | FE  | info     | /////////////////////////////////////////////////////
20:01:51:960838 | App | info     | Logging level set to 0 - all.
20:01:51:960844 | FE  | info     | Logging level set to 0 - all.
20:01:51:961158 | FE  | info     | Closing Window.
